GNISIDNAME,COUNT,AREA,PercentArea_Value,MIN_cellsml,MAX_cellsml,RANGE_cellsml,MEAN_cellsml,STD_cellsml,Day,Year,Date,wi_DWSA
Malheur Lake_01123710,942,84780000,,6310,1541701,1535392,309773,321729,247,2019,9/4/2019,
Odell Lake_01147159,122,10980000,,6310,6310,0,6310,0,105,2017,4/15/2017,
Paulina Lake_01147502,42,3780000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Renner Lake_00267175,21,1890000,,6310,27290,20980,8718,5311,247,2019,9/4/2019,
Summer Lake_01150595,505,45450000,,6310,1976971,1970661,544534,306048,247,2019,9/4/2019,
Summit Lake_01150624,6,540000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Swamp Lake_01127802,38,3420000,,6310,711214,704904,273304,166697,247,2019,9/4/2019,
Timothy Lake_01151253,24,2160000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Upper Klamath Lake_01151685,2584,232560000,,6310,5649374,5643064,1614674,923497,247,2019,9/4/2019,
Waldo Lake_01151818,177,15930000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Warm Springs Reservoir_01128656,138,12420000,,6310,151356,145047,18255,31635,247,2019,9/4/2019,
Wickiup Reservoir_01161711,72,6480000,,6310,337288,330978,14018,42666,247,2019,9/4/2019,
Alkali Lake_01116863,28,2520000,,6310,5970357,5964047,741825,1562907,246,2019,9/3/2019,
Alkali Lake_01116864,16,1440000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Cold Springs Reservoir_01119125,17,1530000,,1541701,1770110,228408,1653004,88835,246,2019,9/3/2019,
Cottage Grove Lake_01158179,26,2340000,,6310,147231,140922,36912,44448,246,2019,9/3/2019,
Crane Prairie Reservoir_01140386,170,15300000,,6310,285759,279450,24690,50656,246,2019,9/3/2019,
Crater Lake_01163669,563,50670000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Crescent Lake_01158186,149,13410000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Davis Lake_01140666,112,10080000,,6310,2398834,2392524,295412,567823,246,2019,9/3/2019,
Detroit Lake_01639301,64,5760000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Diamond Lake_01140999,127,11430000,,6310,69823,63514,7279,6116,246,2019,9/3/2019,
Dorena Lake_01120032,40,3600000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Drews Reservoir_01141243,149,13410000,,6310,1629297,1622987,918581,383206,246,2019,9/3/2019,
East Lake_01141624,41,3690000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Fern Ridge Lake_01120678,261,23490000,,6310,554626,548316,12392,37346,246,2019,9/3/2019,
Foster Lake_01158892,22,1980000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Gerber Reservoir_01121105,125,11250000,,6310,24434,18125,6620,2205,246,2019,9/3/2019,
Goose Lake_00224325,1201,108090000,,6310,5345646,5339336,1105534,947494,246,2019,9/3/2019,
Green Peter Lake_01158878,60,5400000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Henry Hagg Lake_01158095,35,3150000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Hills Creek Lake_01158881,62,5580000,,6310,6310,0,6310,0,246,2019,9/3/2019,
Howard Prairie Lake_01158895,55,4950000,,6310,1380385,1374075,526534,438868,246,2019,9/3/2019,
Lake Abert_01116755,1451,130590000,,6310,1870684,1864374,106801,304705,246,2019,9/3/2019,
Lake Billy Chinook_01138120,65,5850000,,277971,1674944,1396972,954687,360875,246,2019,9/3/2019,
